sample,fold,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
INT20,4,hest_var50,all,cp10k_panel,0.2510037238817362,0.30973252609072266,0.2593066371685612,0.3229807811400269,1
INT19,5,hest_var50,all,log1p_raw,0.3362164135254895,0.4271957242477289,0.3476616668408489,0.4332123625560698,1
INT18,5,hest_var50,all,log1p_raw,0.4621765253657746,0.6289920444557049,0.5007021265960107,0.6310819115138432,1
INT17,5,hest_var50,all,log1p_raw,0.27869113879988705,0.43412479290014927,0.2995134478874081,0.4386952944528755,1
INT16,5,hest_var50,all,log1p_raw,0.2971180408248403,0.3942298763640401,0.2969062781107601,0.39532185029949657,1
INT19,5,hest_var50,all,cp10k_panel,0.2860150418363384,0.34790088110729717,0.29180620504870247,0.3494918785991431,1
INT18,5,hest_var50,all,cp10k_panel,0.37614040639779645,0.5204953373318977,0.3917124808540388,0.5034403231868926,1
INT17,5,hest_var50,all,cp10k_panel,0.23630485385470562,0.34993994103788373,0.25297845660127677,0.3505882797255688,1
INT16,5,hest_var50,all,cp10k_panel,0.20192089378532418,0.25199879522035207,0.18645391549371254,0.25002151201295236,1
INT24,0,trainHVG737,all,log1p_raw,0.5241393654469736,0.5503209910227412,0.5273445007452255,0.5677696633678105,1
INT15,0,trainHVG737,all,log1p_raw,0.31972618073196785,0.3606177644276251,0.3531047180071841,0.38997954947769087,1
INT14,0,trainHVG737,all,log1p_raw,0.31465452903704827,0.33589522166321956,0.3354062507535292,0.3677617961970278,1
INT13,0,trainHVG737,all,log1p_raw,0.44278758779033434,0.4869907450566353,0.4554730842096177,0.5101803363157054,1
INT24,0,trainHVG737,all,cp10k_panel,0.26625003022752874,0.3007561899899872,0.26515753170274475,0.3006526426580015,1
INT15,0,trainHVG737,all,cp10k_panel,0.18210556925415325,0.2084109843923214,0.1898564610998985,0.20828504336382223,1
INT14,0,trainHVG737,all,cp10k_panel,0.1861397716425588,0.1989685241571629,0.19188066523171562,0.20449018454651557,1
INT13,0,trainHVG737,all,cp10k_panel,0.26375154932488026,0.2884583219991067,0.2631096152034241,0.28903835193973193,1
INT12,1,trainHVG737,all,log1p_raw,0.3220661137747401,0.4032105465828577,0.34529009135001076,0.43321906089313256,1
INT11,1,trainHVG737,all,log1p_raw,0.5040850130817481,0.5447684872252667,0.5161739846344925,0.5612182889280637,1
INT10,1,trainHVG737,all,log1p_raw,0.7496854635615019,0.8356683165127822,0.7338902158432644,0.8277893100795143,1
INT9,1,trainHVG737,all,log1p_raw,0.5396125076927555,0.6204663387540652,0.5453299750816487,0.6307043761600283,1
INT12,1,trainHVG737,all,cp10k_panel,0.1518519143185071,0.161989308778108,0.14375732464955776,0.16182800403579048,1
INT11,1,trainHVG737,all,cp10k_panel,0.1958470057497277,0.1922445725293818,0.19020305087488848,0.18895983350338716,0
INT10,1,trainHVG737,all,cp10k_panel,0.48428052641492175,0.47914689283026385,0.44931200965013224,0.4696833904668126,0
INT9,1,trainHVG737,all,cp10k_panel,0.31906934591862174,0.32876743886554965,0.3000700100014022,0.3225887433436458,1
INT8,2,trainHVG737,all,log1p_raw,0.5613792044991653,0.6237631529843235,0.5652983067682447,0.6333325707828245,1
INT7,2,trainHVG737,all,log1p_raw,0.4938405893900908,0.5294690936937945,0.49066046630059074,0.5500634336709885,1
INT6,2,trainHVG737,all,log1p_raw,0.5873898073211448,0.6700954568175029,0.5925578102128365,0.6760286765111411,1
INT23,2,trainHVG737,all,log1p_raw,0.4559961723022271,0.5058220080960366,0.47239480479770346,0.5309687933355656,1
INT8,2,trainHVG737,all,cp10k_panel,0.21227312671599882,0.24421733896642822,0.20135609048167788,0.24066596800193285,1
INT7,2,trainHVG737,all,cp10k_panel,0.21507346740386915,0.20567796731585986,0.20637982501598517,0.2041489659937533,0
INT6,2,trainHVG737,all,cp10k_panel,0.3294845379836846,0.3610734862240431,0.32522051524381035,0.352288506289737,1
INT23,2,trainHVG737,all,cp10k_panel,0.17940601018034819,0.16934154174728439,0.17454359271177347,0.16675588071194306,0
INT5,3,trainHVG737,all,log1p_raw,0.5414333291650318,0.6830459766507998,0.5539679538274683,0.6969576331829294,1
INT4,3,trainHVG737,all,log1p_raw,0.3358464517351301,0.3684478347950481,0.3642666912403569,0.39380845439552326,1
INT3,3,trainHVG737,all,log1p_raw,0.3127715818198544,0.34545986488488345,0.33951945999957833,0.3741934878409295,1
INT2,3,trainHVG737,all,log1p_raw,0.32369324498370183,0.36026185195995447,0.35908980606764596,0.39617818512672154,1
INT5,3,trainHVG737,all,cp10k_panel,0.2245335481425265,0.25335581800273127,0.20512713048626224,0.24895437342311816,1
INT4,3,trainHVG737,all,cp10k_panel,0.22719936269240162,0.25295295046086025,0.23550265646531174,0.2631408948666946,1
INT3,3,trainHVG737,all,cp10k_panel,0.21520726512448307,0.23793111467621095,0.2209136206864506,0.24344171903786985,1
INT2,3,trainHVG737,all,cp10k_panel,0.236341292352975,0.263230156452376,0.248672371631706,0.27551896723649066,1
INT1,4,trainHVG737,all,log1p_raw,0.3237278658538641,0.37976326034578817,0.3533836704993558,0.40910469232121854,1
INT22,4,trainHVG737,all,log1p_raw,0.4249232843874728,0.4769920733585665,0.440602736113035,0.4993528545294993,1
INT21,4,trainHVG737,all,log1p_raw,0.47492601995094313,0.5301934296511192,0.4854742646426389,0.5542055547765573,1
INT20,4,trainHVG737,all,log1p_raw,0.351957742158607,0.4006743850380608,0.36771074691730915,0.42870094353353055,1
INT1,4,trainHVG737,all,cp10k_panel,0.21399523412709628,0.23914799154084657,0.21710271332839814,0.24201751247923303,1
INT22,4,trainHVG737,all,cp10k_panel,0.18917169257069838,0.19555800952033497,0.18522919671723329,0.1930243948232515,1
INT21,4,trainHVG737,all,cp10k_panel,0.28692901868903664,0.3213611309942548,0.2946178720266715,0.3224999355279808,1
INT20,4,trainHVG737,all,cp10k_panel,0.2483628476626371,0.264685288286863,0.24908038694652776,0.2724829487121097,1
