sample,fold,panel,spotset,caliber,k,n_spots,rnbr_med,rnbr_mean,rnbr_q25,rnbr_q75
INT10,1,hest_var50,all,cp10k_panel,6,1983,0.514523554158245,0.5110669756824663,0.445301754666287,0.5977935969170964
INT10,1,hest_var50,all,cp10k_full,6,1983,0.24164047773151026,0.27817254339482145,0.17090893921246514,0.4091662079768982
INT9,1,hest_var50,all,log1p_raw,6,1696,0.5082438138605524,0.48551876232201524,0.3510194184074681,0.6321218642728219
INT9,1,hest_var50,all,cp10k_panel,6,1696,0.2914138946789551,0.28732041406428477,0.23120265054260145,0.36039486770299495
INT9,1,hest_var50,all,cp10k_full,6,1696,0.1473154667502754,0.15155457689639956,0.10158328369839077,0.2167484389228576
INT8,2,hest_var50,all,log1p_raw,6,1949,0.5173405783668501,0.518475768283463,0.38029225428716174,0.640328950547819
INT8,2,hest_var50,all,cp10k_panel,6,1949,0.23357724788617468,0.24091904341456444,0.18759494685954878,0.2805499199429101
INT8,2,hest_var50,all,cp10k_full,6,1949,0.16084527035955595,0.20881640770707513,0.10638752769056378,0.27526329013951767
INT7,2,hest_var50,all,log1p_raw,6,2374,0.3177644283749894,0.3382452945375338,0.22487337545649905,0.4446504848861008
INT7,2,hest_var50,all,cp10k_panel,6,2374,0.1584879312309352,0.15185616815733458,0.11472603792554942,0.18977470490442191
INT7,2,hest_var50,all,cp10k_full,6,2374,0.07665525954917018,0.0952727282754431,0.03973236852374666,0.13009494829607682
INT6,2,hest_var50,all,log1p_raw,6,1678,0.48342718427189957,0.495140756209346,0.3778915042791028,0.5768438445446333
INT6,2,hest_var50,all,cp10k_panel,6,1678,0.30048908004727837,0.31464079205127116,0.26616893955489473,0.3758854467380679
INT6,2,hest_var50,all,cp10k_full,6,1678,0.1318669407658591,0.1637774836021673,0.09651696686799635,0.2154098475195988
INT23,2,hest_var50,all,log1p_raw,6,4755,0.3436035148991081,0.36257362245187996,0.23713599063582624,0.4808647418284342
INT23,2,hest_var50,all,cp10k_panel,6,4755,0.19536586250261356,0.2086916182857788,0.13731678361571903,0.26140846115682254
INT23,2,hest_var50,all,cp10k_full,6,4755,0.17293707028948108,0.21960608668413542,0.09190111016415736,0.3182652741447823
INT5,3,hest_var50,all,log1p_raw,6,1186,0.7453985471194109,0.6935205900162655,0.6432193948931642,0.7846660476067695
INT5,3,hest_var50,all,cp10k_panel,6,1186,0.3169356951923082,0.34264787755745785,0.2458317710287703,0.4200072206082197
INT5,3,hest_var50,all,cp10k_full,6,1186,0.553789527277487,0.5152528701507602,0.40610231124544105,0.6218534276789054
INT4,3,hest_var50,all,log1p_raw,6,1349,0.34302757699081665,0.36455591597330717,0.25205993303310653,0.4637630606174469
INT4,3,hest_var50,all,cp10k_panel,6,1349,0.21751279703623452,0.2245426576093292,0.15717127091058405,0.27911916830292427
INT4,3,hest_var50,all,cp10k_full,6,1349,0.12043163729966606,0.13741671810005754,0.07188459050141513,0.18695833147179053
INT3,3,hest_var50,all,log1p_raw,6,2007,0.27717733804389866,0.2816757595734691,0.17616127940192877,0.3721549654722026
INT3,3,hest_var50,all,cp10k_panel,6,2007,0.1624476092946761,0.16257035243350415,0.10859952397919295,0.2134119147106731
INT3,3,hest_var50,all,cp10k_full,6,2007,0.09667689285429125,0.0965685507546514,0.04544766671098419,0.14985106461037256
INT2,3,hest_var50,all,log1p_raw,6,2580,0.38683624359045743,0.3750516557832791,0.2105659816088084,0.5060419245518114
INT2,3,hest_var50,all,cp10k_panel,6,2580,0.2489933198003605,0.24178583460880954,0.15743394988273346,0.31867689083538353
INT2,3,hest_var50,all,cp10k_full,6,2580,0.14276534400674284,0.15219709215404126,0.07964729501821124,0.20308299788102904
INT1,4,hest_var50,all,log1p_raw,6,1084,0.1554645367277303,0.16946365251709292,0.07593290709767771,0.24524544973182574
INT1,4,hest_var50,all,cp10k_panel,6,1084,0.11316883019373308,0.1035131749182181,0.06398322600273113,0.147420684151009
INT1,4,hest_var50,all,cp10k_full,6,1084,0.06082055838422229,0.06675896336970964,0.020675494378338672,0.11048682306144827
INT22,4,hest_var50,all,log1p_raw,6,3829,0.30205297472812337,0.33073566065579607,0.21643625783871062,0.4027695513249081
INT22,4,hest_var50,all,cp10k_panel,6,3829,0.1597674112761273,0.19216024834944437,0.11814396867565352,0.24824403758121905
INT22,4,hest_var50,all,cp10k_full,6,3829,0.09682749933752412,0.16005977609124855,0.0552599390661376,0.22919693970527083
INT21,4,hest_var50,all,log1p_raw,6,4975,0.4238875790037344,0.45256998434226126,0.3140237000034431,0.567073466615555
INT21,4,hest_var50,all,cp10k_panel,6,4975,0.32371386788834156,0.34120027935113845,0.2229142461300531,0.46078965314402126
INT21,4,hest_var50,all,cp10k_full,6,4975,0.2856906879897464,0.2867820164121451,0.12175245881646538,0.4088746518989574
