sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
INT8,2,trainHVG737,all,log1p_raw,1949,737,0.5613792044991653,0.5652983067682447,0.5595880671339923,0.5633988633227016
INT7,2,trainHVG737,all,log1p_raw,2374,737,0.4938405893900908,0.49066046630059074,0.4917826961189414,0.48834108193926445
INT6,2,trainHVG737,all,log1p_raw,1678,737,0.5873898073211448,0.5925578102128365,0.5866588517484131,0.5910370925318632
INT23,2,trainHVG737,all,log1p_raw,4755,737,0.4559961723022271,0.47239480479770346,0.45568547942883053,0.4715249222965635
INT8,2,trainHVG737,all,cp10k_panel,1949,737,0.21227312671599882,0.20135609048167788,0.20594617932822415,0.19723819479768048
INT7,2,trainHVG737,all,cp10k_panel,2374,737,0.21507346740386915,0.20637982501598517,0.21030632780795705,0.19907579137585632
INT6,2,trainHVG737,all,cp10k_panel,1678,737,0.3294845379836846,0.32522051524381035,0.32585219530517834,0.3212415170009461
INT23,2,trainHVG737,all,cp10k_panel,4755,737,0.17940601018034819,0.17454359271177347,0.1767539375466218,0.1732080584108563
INT8,2,trainHVG737,all,cp10k_full,1949,737,0.1386496832662468,0.13282732404757625,0.12962838994507495,0.12421268316942871
INT7,2,trainHVG737,all,cp10k_full,2374,737,0.15866388273369078,0.15725177198076418,0.15097339273933774,0.14930114468183814
INT6,2,trainHVG737,all,cp10k_full,1678,737,0.23113481067075414,0.22911086902791405,0.22487767860637822,0.22352015899378863
INT23,2,trainHVG737,all,cp10k_full,4755,737,0.10225567654017076,0.09872137856682803,0.10032228411375266,0.10469507186844278
INT5,3,hest_var50,all,log1p_raw,1186,50,0.7954754535265818,0.7079956371080662,0.7949876012888499,0.7062429890690147
INT4,3,hest_var50,all,log1p_raw,1349,50,0.4381972016177933,0.4477882675213833,0.43606213517719306,0.4439623186499362
INT3,3,hest_var50,all,log1p_raw,2007,50,0.40997676460318755,0.4170643197561175,0.4080391020285362,0.414381892980179
INT2,3,hest_var50,all,log1p_raw,2580,50,0.5065275078649303,0.4894935267571657,0.5045589988639041,0.48790441229908266
INT5,3,hest_var50,all,cp10k_panel,1186,50,0.3030549704800012,0.2450391297457877,0.2856265115162414,0.2325851278537989
INT4,3,hest_var50,all,cp10k_panel,1349,50,0.33074557170293817,0.33570607849929907,0.3251104313749066,0.3315759871615538
INT3,3,hest_var50,all,cp10k_panel,2007,50,0.3106524178262834,0.3046533143855044,0.30824146180988227,0.3012830299214652
INT2,3,hest_var50,all,cp10k_panel,2580,50,0.378673271734341,0.36384226244907114,0.3767169743219081,0.36135122561669325
INT5,3,hest_var50,all,cp10k_full,1186,50,0.2001621224463311,0.1693005681442122,0.20362853286152544,0.19651510111981121
INT4,3,hest_var50,all,cp10k_full,1349,50,0.21608225840540737,0.213070237519894,0.21518427606252807,0.21966926673346826
INT3,3,hest_var50,all,cp10k_full,2007,50,0.17943973236771874,0.17819344542666335,0.17439412842619387,0.1794323711537463
INT2,3,hest_var50,all,cp10k_full,2580,50,0.25148924495372516,0.24085927320595857,0.24801670686449892,0.2423851348335924
INT5,3,trainHVG50,all,log1p_raw,1186,50,0.455848908827061,0.4829458511696291,0.4535115978825159,0.47869060512826295
INT4,3,trainHVG50,all,log1p_raw,1349,50,0.350599868618778,0.357986561869775,0.3450221678868143,0.35175708674046724
INT3,3,trainHVG50,all,log1p_raw,2007,50,0.3024637974913411,0.3040191706217303,0.2987254237250192,0.30063697776350773
INT2,3,trainHVG50,all,log1p_raw,2580,50,0.2910554766990933,0.31943754691648457,0.28931137233120574,0.3162749439463546
INT5,3,trainHVG50,all,cp10k_panel,1186,50,0.28979064092491347,0.27882324927182434,0.28413241170706804,0.26553467447927237
INT4,3,trainHVG50,all,cp10k_panel,1349,50,0.28628507301845163,0.2811875634024318,0.2822469964313459,0.2744820070668058
INT3,3,trainHVG50,all,cp10k_panel,2007,50,0.25362147492953946,0.24395395606781092,0.2510715325462316,0.23948975419653645
INT2,3,trainHVG50,all,cp10k_panel,2580,50,0.2489296501635299,0.2640873896698552,0.24539947280207952,0.25961387007189696
INT5,3,trainHVG50,all,cp10k_full,1186,50,0.02698560784767521,0.03223777180272102,0.03365423116355942,0.06330399600444307
INT4,3,trainHVG50,all,cp10k_full,1349,50,0.17716021513556152,0.15746934275360688,0.1768728688268174,0.17758568918950451
INT3,3,trainHVG50,all,cp10k_full,2007,50,0.1339478305108941,0.1221064739226554,0.12890123819201063,0.12843892786328193
INT2,3,trainHVG50,all,cp10k_full,2580,50,0.13839312363649592,0.1424010655373831,0.1455129361046923,0.15299272837304764
INT5,3,trainHVG737,all,log1p_raw,1186,737,0.5414333291650318,0.5539679538274683,0.5392908203436054,0.5515671716133946
INT4,3,trainHVG737,all,log1p_raw,1349,737,0.3358464517351301,0.3642666912403569,0.3304861216022488,0.35815275014955866
INT3,3,trainHVG737,all,log1p_raw,2007,737,0.3127715818198544,0.33951945999957833,0.3083837555638763,0.3361371014771193
INT2,3,trainHVG737,all,log1p_raw,2580,737,0.32369324498370183,0.35908980606764596,0.3214122643296938,0.3566692902924004
INT5,3,trainHVG737,all,cp10k_panel,1186,737,0.2245335481425265,0.20512713048626224,0.21378268505302953,0.19772366925560583
INT4,3,trainHVG737,all,cp10k_panel,1349,737,0.22719936269240162,0.23550265646531174,0.2215673963052918,0.229348249407833
INT3,3,trainHVG737,all,cp10k_panel,2007,737,0.21520726512448307,0.2209136206864506,0.2111500848727528,0.21733310808049178
INT2,3,trainHVG737,all,cp10k_panel,2580,737,0.236341292352975,0.248672371631706,0.23308170439948125,0.24611558099070885
INT5,3,trainHVG737,all,cp10k_full,1186,737,0.10063189717357636,0.09096194744070488,0.10146400375333237,0.10120228924819702
INT4,3,trainHVG737,all,cp10k_full,1349,737,0.1683324572056729,0.17565379057885913,0.16171517358894055,0.17052902612607776
INT3,3,trainHVG737,all,cp10k_full,2007,737,0.1461521962532691,0.1493856620288747,0.1398832850708964,0.14533884848342873
INT2,3,trainHVG737,all,cp10k_full,2580,737,0.16658158637716675,0.17666080900255954,0.16366884844129329,0.17584474422782065
INT1,4,hest_var50,all,log1p_raw,1084,50,0.29929995114078706,0.33917004346459634,0.2938894990952567,0.33235400453408465
INT22,4,hest_var50,all,log1p_raw,3829,50,0.3474613384344005,0.37711694021634934,0.3443978192067106,0.3754628509390129
INT21,4,hest_var50,all,log1p_raw,4975,50,0.39224558640571283,0.41958892291849736,0.39134101787015974,0.4186472164642742
