sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
INT23,all,hest_var50,log1p_raw,0.4456972571882559,0.15771840614553884,0.3689178471969977,0.21119944105145888,0
INT23,all,trainHVG737,cp10k_panel,0.4456972571882559,0.15771840614553884,0.17940601018034819,0.02168760403480935,0
INT23,all,trainHVG737,log1p_raw,0.4456972571882559,0.15771840614553884,0.4559961723022271,0.2982777661566883,0
INT5,all,hest_var50,cp10k_panel,0.6285021473475797,0.21024837052788686,0.3030549704800012,0.09280659995211432,0
INT5,all,hest_var50,log1p_raw,0.6285021473475797,0.21024837052788686,0.7954754535265818,0.585227082998695,0
INT5,all,trainHVG737,cp10k_panel,0.6285021473475797,0.21024837052788686,0.2245335481425265,0.014285177614639627,0
INT5,all,trainHVG737,log1p_raw,0.6285021473475797,0.21024837052788686,0.5414333291650318,0.331184958637145,0
INT4,all,hest_var50,cp10k_panel,0.9282965037211438,0.2963958846814028,0.33074557170293817,0.03434968702153535,0
INT4,all,hest_var50,log1p_raw,0.9282965037211438,0.2963958846814028,0.4381972016177933,0.14180131693639048,0
INT4,all,trainHVG737,cp10k_panel,0.9282965037211438,0.2963958846814028,0.22719936269240162,-0.0691965219890012,0
INT4,all,trainHVG737,log1p_raw,0.9282965037211438,0.2963958846814028,0.3358464517351301,0.03945056705372729,0
INT3,all,hest_var50,cp10k_panel,0.7438091951178979,0.2433824683473132,0.3106524178262834,0.06726994947897019,0
INT3,all,hest_var50,log1p_raw,0.7438091951178979,0.2433824683473132,0.40997676460318755,0.16659429625587435,0
INT3,all,trainHVG737,cp10k_panel,0.7438091951178979,0.2433824683473132,0.21520726512448307,-0.028175203222830125,0
INT3,all,trainHVG737,log1p_raw,0.7438091951178979,0.2433824683473132,0.3127715818198544,0.06938911347254123,0
INT2,all,hest_var50,cp10k_panel,0.8451888938240649,0.27251446781125915,0.378673271734341,0.10615880392308186,0
INT2,all,hest_var50,log1p_raw,0.8451888938240649,0.27251446781125915,0.5065275078649303,0.23401304005367113,0
INT2,all,trainHVG737,cp10k_panel,0.8451888938240649,0.27251446781125915,0.236341292352975,-0.03617317545828416,0
INT2,all,trainHVG737,log1p_raw,0.8451888938240649,0.27251446781125915,0.32369324498370183,0.05117877717244268,0
INT1,all,hest_var50,cp10k_panel,0.6461968775696526,0.21533304603908704,0.23389832371233604,0.018565277673249003,0
INT1,all,hest_var50,log1p_raw,0.6461968775696526,0.21533304603908704,0.29929995114078706,0.08396690510170002,0
INT1,all,trainHVG737,cp10k_panel,0.6461968775696526,0.21533304603908704,0.21399523412709628,-0.001337811911990755,0
INT1,all,trainHVG737,log1p_raw,0.6461968775696526,0.21533304603908704,0.3237278658538641,0.10839481981477705,0
INT22,all,hest_var50,cp10k_panel,0.5060814062163186,0.17507011481666895,0.24333257359250404,0.06826245877583509,0
INT22,all,hest_var50,log1p_raw,0.5060814062163186,0.17507011481666895,0.3474613384344005,0.17239122361773157,0
INT22,all,trainHVG737,cp10k_panel,0.5060814062163186,0.17507011481666895,0.18917169257069838,0.014101577754029426,0
INT22,all,trainHVG737,log1p_raw,0.5060814062163186,0.17507011481666895,0.4249232843874728,0.24985316957080383,0
INT21,all,hest_var50,cp10k_panel,0.769528172594776,0.2507729542890915,0.31272553326492525,0.06195257897583373,0
INT21,all,hest_var50,log1p_raw,0.769528172594776,0.2507729542890915,0.39224558640571283,0.1414726321166213,0
INT21,all,trainHVG737,cp10k_panel,0.769528172594776,0.2507729542890915,0.28692901868903664,0.03615606439994512,0
INT21,all,trainHVG737,log1p_raw,0.769528172594776,0.2507729542890915,0.47492601995094313,0.2241530656618516,0
INT20,all,hest_var50,cp10k_panel,0.7942270907429986,0.25787032071882915,0.2510037238817362,-0.006866596837092953,0
INT20,all,hest_var50,log1p_raw,0.7942270907429986,0.25787032071882915,0.30247671830758605,0.044606397588756896,0
INT20,all,trainHVG737,cp10k_panel,0.7942270907429986,0.25787032071882915,0.2483628476626371,-0.00950747305619204,0
INT20,all,trainHVG737,log1p_raw,0.7942270907429986,0.25787032071882915,0.351957742158607,0.09408742143977783,0
INT19,all,hest_var50,cp10k_panel,0.858372586745456,0.2763028725907205,0.2860150418363384,0.009712169245617908,0
INT19,all,hest_var50,log1p_raw,0.858372586745456,0.2763028725907205,0.3362164135254895,0.05991354093476897,0
INT19,all,trainHVG737,cp10k_panel,0.858372586745456,0.2763028725907205,0.2548821315169093,-0.0214207410738112,0
INT19,all,trainHVG737,log1p_raw,0.858372586745456,0.2763028725907205,0.37075181894702314,0.09444894635630263,0
INT18,all,hest_var50,cp10k_panel,0.9937383264386068,0.31520094297862983,0.37614040639779645,0.06093946341916662,0
INT18,all,hest_var50,log1p_raw,0.9937383264386068,0.31520094297862983,0.4621765253657746,0.14697558238714475,0
