sample,fold,panel,spotset,caliber,n_spots,n_genes,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,method
INT23,2,trainHVG737,all,cp10k_panel,4755,737,0.42242126413358133,,0.3239688077630855,0.5373187099815019,skipped_dup_impl
INT23,2,trainHVG737,all,cp10k_full,4755,737,0.3746663191950959,,0.2655181317463162,0.5088168153585131,skipped_dup_impl
INT5,3,trainHVG737,all,log1p_raw,1186,737,0.6835264228438754,,0.6000335176808393,0.8084326159933325,skipped_dup_impl
INT5,3,trainHVG737,all,cp10k_panel,1186,737,0.5124446615191747,,0.45064691117254124,0.6014662487931353,skipped_dup_impl
INT5,3,trainHVG737,all,cp10k_full,1186,737,0.48101616689062626,,0.4008669251252172,0.6122727905327403,skipped_dup_impl
INT4,3,trainHVG737,all,log1p_raw,1349,737,0.5096414780816895,,0.41371804174746274,0.6177700992347256,skipped_dup_impl
INT4,3,trainHVG737,all,cp10k_panel,1349,737,0.40636079107426953,,0.3283979009115966,0.48368252436455567,skipped_dup_impl
INT4,3,trainHVG737,all,cp10k_full,1349,737,0.36157376841914635,,0.2859318608231738,0.44176751263926234,skipped_dup_impl
INT3,3,trainHVG737,all,log1p_raw,2007,737,0.43187977612463657,,0.3570002828998096,0.5256448235007726,skipped_dup_impl
INT3,3,trainHVG737,all,cp10k_panel,2007,737,0.34964872042633405,,0.2923766958321655,0.41499100096985136,skipped_dup_impl
INT3,3,trainHVG737,all,cp10k_full,2007,737,0.30274611165642956,,0.2467287571744936,0.36910449902063447,skipped_dup_impl
INT2,3,trainHVG737,all,log1p_raw,2580,737,0.409001171136315,,0.33038146949668595,0.510323682734881,skipped_dup_impl
INT2,3,trainHVG737,all,cp10k_panel,2580,737,0.329681700357436,,0.2721996113975332,0.41010941073740237,skipped_dup_impl
INT2,3,trainHVG737,all,cp10k_full,2580,737,0.29030761116025,,0.2309282086602409,0.36108212000628837,skipped_dup_impl
INT1,4,trainHVG737,all,log1p_raw,1084,737,0.4385273607271971,,0.35587269517459164,0.5298339490912778,skipped_dup_impl
INT1,4,trainHVG737,all,cp10k_panel,1084,737,0.3587079069783773,,0.27782211242938337,0.42550161766295164,skipped_dup_impl
INT1,4,trainHVG737,all,cp10k_full,1084,737,0.32731131464475854,,0.24513597340357188,0.39034305088479676,skipped_dup_impl
INT22,4,trainHVG737,all,log1p_raw,3829,737,0.5196218216340929,,0.4309226660961664,0.6248651025770489,skipped_dup_impl
INT22,4,trainHVG737,all,cp10k_panel,3829,737,0.3491357488865104,,0.2802850283479748,0.44382009547757845,skipped_dup_impl
INT22,4,trainHVG737,all,cp10k_full,3829,737,0.301801693698342,,0.22318780379175626,0.41700466405911796,skipped_dup_impl
INT21,4,trainHVG737,all,log1p_raw,4975,737,0.6123877069700272,,0.5185500593275219,0.7233585077699123,skipped_dup_impl
INT21,4,trainHVG737,all,cp10k_panel,4975,737,0.47289786527703365,,0.3813454864086059,0.5924217895809434,skipped_dup_impl
INT21,4,trainHVG737,all,cp10k_full,4975,737,0.41727560602719466,,0.3096904126820604,0.5562479957182642,skipped_dup_impl
INT20,4,trainHVG737,all,log1p_raw,4860,737,0.4998505823471445,,0.40484819701264196,0.6034322868584224,skipped_dup_impl
INT20,4,trainHVG737,all,cp10k_panel,4860,737,0.38781628481670893,,0.31350903180451345,0.4797913327303339,skipped_dup_impl
INT20,4,trainHVG737,all,cp10k_full,4860,737,0.3470880104816993,,0.26874687684626813,0.4469935553428956,skipped_dup_impl
INT19,5,trainHVG737,all,log1p_raw,4948,737,0.44071444535195614,,0.3576027302946071,0.5592037534827236,skipped_dup_impl
INT19,5,trainHVG737,all,cp10k_panel,4948,737,0.3455494089414211,,0.27541203462994057,0.43469712753418077,skipped_dup_impl
INT19,5,trainHVG737,all,cp10k_full,4948,737,0.29079626299990513,,0.22854439450596087,0.38485614521965067,skipped_dup_impl
INT18,5,trainHVG737,all,log1p_raw,4915,737,0.680922492099168,,0.5594665578692706,0.7942781200625436,skipped_dup_impl
INT18,5,trainHVG737,all,cp10k_panel,4915,737,0.5016713965205369,,0.39953117364116236,0.6092021980982614,skipped_dup_impl
INT18,5,trainHVG737,all,cp10k_full,4915,737,0.4333002657052641,,0.3284181203155723,0.5407485290263703,skipped_dup_impl
INT17,5,trainHVG737,all,log1p_raw,3585,737,0.5331122713881804,,0.42022541635336785,0.6567429344498301,skipped_dup_impl
INT17,5,trainHVG737,all,cp10k_panel,3585,737,0.4037456447334557,,0.31681706528308873,0.5023010814965675,skipped_dup_impl
INT17,5,trainHVG737,all,cp10k_full,3585,737,0.359549756662839,,0.2709381527181504,0.4805049023482732,skipped_dup_impl
INT16,5,trainHVG737,all,log1p_raw,3206,737,0.47160229225195677,,0.36821394215336933,0.6115443331070947,skipped_dup_impl
INT16,5,trainHVG737,all,cp10k_panel,3206,737,0.35219000967335135,,0.27285101014210583,0.46162367373219937,skipped_dup_impl
INT16,5,trainHVG737,all,cp10k_full,3206,737,0.3227736577573667,,0.23618165660813867,0.4451565847278663,skipped_dup_impl
