section,gene,n_spot,r_full,dg,crg,drg
A1,PHB,345,0.04813887507266035,0.029121174352372284,0.040022365447534694,0.04792803697880111
A1,PLD3,345,-0.025683847716362437,-0.04734981387233901,-0.06629159916577582,-0.07468508631764569
A1,PLXNB2,345,0.2185098929473456,0.15329091577747367,0.10207321011631451,0.09255670743028298
A1,PPDPF,345,0.056235168392730066,0.056203527533678146,0.0016888006820044005,0.007673059933836694
A1,PRDX1,345,0.19782462748615215,0.10021549347299767,0.07036277599286514,0.04402560430607403
A1,PRRC2A,345,0.02201156203340393,0.02305676155960028,0.008934463365578769,0.006499371161487972
A1,PSMB3,345,0.03619045536620163,-0.022547289752424586,-0.07703228223951589,-0.07090319576848612
A1,PTMS,345,0.015174342356228443,0.01885375335643142,0.04018255593813896,0.05324326427086038
A1,PTPRF,345,0.08682009971571328,0.057584290003771944,-0.05100886317733849,-0.050359539509852086
A1,RAD9A,345,-0.002960347437252876,-0.00283248225488483,-0.013732306821402423,0.0026193736076592306
A1,RALY,345,0.02589812136897102,-0.04370478845799447,-0.061582937186405284,-0.09988009871735183
A1,RRBP1,345,-0.0449196097987375,-0.09457139498063225,-0.01996501340487285,-0.04119633152284272
A1,S100A6,345,0.005973516234437412,0.0350317630222429,-0.06001658793173003,-0.022956761740999948
A1,SCAND1,345,0.08763862391198443,0.040874662049274084,0.034167024443406094,0.0190219220604312
A1,SEC61A1,345,0.010251925545028504,-0.0794999364945586,0.011840583213506175,-0.04586600261160453
A1,SEPW1,345,-0.1574549267097402,-0.1735178107881731,-0.13832927488052327,-0.1358050816748783
A1,SLC25A6,345,-0.01906397961231239,-0.04535910774896122,-0.03773562131787281,-0.059250252237152114
A1,SLC2A4RG,345,0.1702059752700373,0.10255909942949445,0.11993565173680712,0.11084884966415971
A1,SPDEF,345,0.03124018801483193,0.008047205392419864,-0.018029425290434244,-0.023292720964434462
A1,SPINT2,345,0.1193276925772895,0.04196305312866245,-0.020342603948445857,-0.028874294271021436
A1,SSR4,345,-0.05850520465054304,-0.008295858446899828,0.03524487430681918,0.02137909403218561
A1,STARD10,345,0.13098353810846625,0.12594100075505815,-0.0016188744173232673,-0.001483992314932029
A1,STARD3,345,-0.1349443551059503,-0.10671504601541017,-0.03185664492425086,-0.030029876805293905
A1,TAGLN2,345,-0.007832091177078544,-0.013161545137485173,0.023778562982569515,0.010737438524892437
A1,TAPBP,345,-0.029119417715286353,-0.03616304712004271,0.028093743498315962,-0.0008132703457898964
A1,TIMP1,345,0.21913189085009768,0.22732138992045575,0.15745065729337487,0.1687888320012958
A1,TPT1,345,0.20045596973727883,0.15963611921059115,-0.057862677162101,-0.04960439652321737
A1,TSPO,345,0.02395032786749486,-0.006849632533290203,0.024123237701498254,0.004831508526260622
A1,TUBA1B,345,0.14983865406278157,0.08304505957523604,-0.042679914205641184,-0.028883298183926116
A1,TUBB,345,0.1545616190031301,0.07963489409519031,-0.09735876838911738,-0.08594184231562783
A1,UBC,345,0.0011922589531943482,-0.007341998904308299,-0.0241797213709317,0.008850519426670306
A1,UBE2M,345,-0.13162117953241323,-0.15000016546277165,-0.1041283291530362,-0.11462954137339769
A1,XBP1,345,0.17380975613358995,0.10952841852137195,-0.004965735003354387,0.013728993689794319
A1,ZYX,345,0.004434561570276912,0.006254538440569763,0.061285319881623515,0.084967391539059
B1,ACTG1,293,0.36836433318686745,0.041693526162373845,0.13646817864126387,0.025443757482374093
B1,ACTN4,293,0.05810496977936885,0.031908526177639826,0.056622684537645525,0.0480317423215071
B1,AES,293,0.14261472439219788,-0.00863031313708992,0.07912497491118259,0.035751729875857306
B1,ALDOA,293,-0.0404405344448897,-0.03415796491240533,-0.023782618573443427,-0.004082448620896619
B1,AP000769.1,293,0.07477131014792365,0.19498471201405926,0.0539415930503422,0.09794222384052276
B1,APOE,293,0.05937520837017752,-0.20683312208899454,-0.10050228189254426,-0.20211406369877313
B1,ATP1A1,293,0.27112948810247633,-0.01579450921731365,0.03549669389908836,-0.05467734616237482
B1,ATP6V0B,293,0.015044853758778811,-0.06638964575694012,-0.04662990018956135,-0.03799411457739921
B1,B2M,293,0.5126315860554506,0.23853464350334078,0.26099676317432025,0.1140414210365853
B1,BEST1,293,0.18496995621559875,-0.10568509729002132,0.1943588142047942,0.0819111747827398
B1,C12orf57,293,-0.0944325850111835,0.017739010968804182,-0.04280956423917519,-0.03707579422345086
B1,CD74,293,-0.03386941186568902,0.10246611451891122,0.030768685694413683,0.03780616628829854
B1,CD81,293,-0.09869535597396246,-0.11884375826300157,-0.050990530848168146,-0.08680952921010826
B1,CHCHD2,293,0.12302715603533208,-0.2603416448925739,-0.06276175951140862,-0.21803028560118623
B1,CISD3,293,0.031941197892331984,-0.19113105395485405,0.04906552062014906,-0.02917862561763729
B1,COL1A1,293,0.25315419097025876,0.009073083309257643,0.1398136498903224,0.05071261595814212
B1,COPE,293,0.07558854821242464,-0.03263794509685741,0.015586079838291623,-0.008310337688160849
B1,COX4I1,293,0.03733252877374583,-0.1343573769192251,-0.031027438491273294,-0.06214152183935269
B1,COX6B1,293,-0.011193832352415169,-0.10419414030624283,-0.10364685455407445,-0.1102729082140302
B1,CRIP2,293,0.07474470565582571,-0.035697116527676445,0.03587406953572207,0.01542056871547419
B1,CST3,293,-0.13188423600550836,0.15858739597873045,0.0761658699573827,0.12088751882583416
B1,CYBA,293,-0.058159612372974,0.04733086755759667,-0.05043936834895665,-0.0072240978201755434
B1,DDX5,293,0.4105113378110182,0.09152687692161027,0.14731323334271387,0.05402468200681891
B1,EDF1,293,-0.02020520791685634,0.05538373830715655,-0.003500794858160375,0.04489272366640945
B1,EEF1D,293,0.08993722293888942,-0.051063152158857296,0.0759562696676581,-0.007881365454424463
B1,EEF2,293,0.17241734662786404,0.1404662359842847,0.15600167565179862,0.14644751656171917
B1,EIF4G1,293,0.14077371955987036,-8.81862814772323e-05,0.12492959282335335,0.07494006513943641
B1,ENO1,293,-0.002819320902430841,0.006114430730317241,-0.008401960425042007,-0.0014865064103120745
B1,ERBB2,293,0.0758671884211579,-0.1953088627974461,-0.12025276640322427,-0.15786515866296663
B1,FASN,293,0.3069879876453335,0.02132845088415054,0.035859331951869786,-0.022888205922423653
B1,FKBP2,293,0.13910852540895383,0.0037362516887949316,0.04746710281066282,0.011860858640091993
B1,FLNA,293,0.05123185429285501,0.09612708797700974,0.11131186326975671,0.11242669998976614
B1,FTH1,293,0.012190187402524665,-0.16090499348513895,-0.04190065719711568,-0.08833672406294739
B1,GNAS,293,0.47121425546752194,0.20968018895754928,0.16671991695929067,0.07822685970440899
B1,GNB2,293,0.1998602405015871,0.04319953340966546,0.10813271957635626,0.05288670121469667
B1,GRINA,293,0.11779347077413552,0.008939293804583377,0.08436522250686058,0.047300916715808265
B1,GRN,293,0.11735378748540333,-0.04568221672635847,0.06270095610711846,-0.023226475292701467
B1,H1FX,293,0.0014139817454836864,-0.08282288767680834,-0.019371562019623045,-0.051311380637712685
B1,H2AFJ,293,-0.08849121125228757,-0.052937517905563475,-0.08448868518626197,-0.07676946624393544
B1,HLA-A,293,0.13149080337362168,-0.09282263597795742,0.05248386076659186,-0.002294926370425733
B1,HLA-B,293,0.3545737483205265,0.014382983097871139,0.2433766022443148,0.08415093115475863
B1,HLA-C,293,0.23046900129274245,-0.15147110139070544,0.1261646927913015,-0.036314230997486235
B1,HLA-E,293,0.022313209837520002,-0.0009936290490554739,0.03254499610696043,-0.0136125641201309
B1,IDH2,293,0.1839501047707125,-0.020641665655082603,0.09091110626509012,0.013874021665335471
B1,IGKC,293,0.015264439599939854,0.15387060670981542,-0.03075973276477858,0.07277626742144924
B1,KRT18,293,-0.0714756604062795,-0.19801882904975326,-0.08364734201816355,-0.13806347775736447
B1,KRT7,293,0.14101365853497225,0.019213564931938425,0.03111453645612589,0.01761230931386049
B1,LAPTM5,293,0.16998236447018208,0.04259627137108997,0.14075576946609417,0.059791513136033404
B1,LASP1,293,0.1894253350007367,-0.11686964228097431,0.03945636332405734,-0.04506704941832757
B1,LMAN2,293,0.34357339549731364,0.13372814236576372,0.1750930469117616,0.11770210162936037
B1,LMNA,293,0.034038689489889945,-0.07241417392259622,0.06181904151313873,0.005575570382713294
B1,LSM4,293,0.10953918015230293,-0.06965302410734911,0.03334433117781133,-0.004814010103451282
B1,MAP3K12,293,0.2053608238269036,0.09033648662056887,0.08187014587895378,0.02853834996228891
B1,MIDN,293,0.1700936738658308,0.05194030984564052,0.08509464410342556,0.06496474450637796
B1,MIEN1,293,-0.037283581275716814,-0.21620829498453845,-0.11521723093296668,-0.1501880678376353
B1,MLLT6,293,0.2286885541541352,-0.03655110190933683,-0.0009689751177174121,-0.03834463774721373
B1,MMACHC,293,0.204331894187424,0.013875299127451463,0.09503658031891907,0.043852923277703564
B1,MUC1,293,0.12223996273497773,-0.04605986481497898,0.10384625904299723,0.0393202503897633
B1,MYL6,293,-0.05456808924514018,0.02741755455327939,0.07310593576079254,0.08386571126629909
B1,MZT2B,293,0.08369599056340882,0.049939449899801064,0.09456048699949036,0.08497510314942291
B1,NDUFA13,293,0.010891101610719205,0.022894516397331508,0.02461906044394822,0.009529298953088666
B1,NDUFB7,293,0.06565991532862384,0.06482151440316136,0.0693475866070646,0.06740955910989725
B1,NDUFB9,293,0.1077349692178525,-0.12523870519961852,0.03293044746823206,-0.06582055176763275
B1,NUPR1,293,0.13410998737047752,-0.06506433005168681,0.02552150910755035,-0.04122105274983997
B1,PCGF2,293,0.10245347308113008,-0.09133567129668003,0.010024798185978234,-0.053409520643868315
B1,PFDN5,293,-0.04963767582151924,0.13992196831386144,0.022430772483541004,0.07591463251986169
B1,PHB,293,0.05558644862146638,-0.14961934137154195,0.0008557202699024532,-0.06247059365350224
B1,PLD3,293,0.1224994077418699,-0.10613459748651034,0.017792718512048625,-0.07428602485240937
B1,PLXNB2,293,0.20455023655673124,-0.05288287041099591,0.07074977769549683,-0.0032064426806313728
B1,PPDPF,293,-0.10166190409691998,0.00016552503517777578,-0.06665043233137569,-0.03368444366495498
B1,PRDX1,293,0.24558438036131247,-0.11598644661190352,0.06490536827766016,-0.05395555641328241
B1,PRRC2A,293,0.018858924301903134,-0.050069286232366186,0.012195713917179675,-0.029169401392418276
B1,PSMB3,293,0.04777512216167328,-0.2664681105372609,-0.0019617745611266476,-0.11938337615008186
B1,PTMS,293,0.07586208471757828,0.1773799868213111,0.10099970164262076,0.1285684345652802
B1,PTPRF,293,0.21106723371431624,0.044169589563533077,0.08751679796552032,0.036026843029502716
B1,RAD9A,293,0.06638155375854071,-0.05426404439003435,0.013500268767600023,-0.039609232759752366
B1,RALY,293,0.08133041394160538,-0.1398362516887997,-0.08621015428910718,-0.13106952693433005
B1,RRBP1,293,0.08433871667723968,-0.07741420115005494,-0.010763847817936408,-0.05154155335187483
B1,S100A6,293,0.11265609060054879,-0.04166173298941539,0.11888025125258318,0.028144746476378043
B1,SCAND1,293,0.09013773546677492,-0.06251395469298392,0.010626068532203827,-0.049623714023312795
B1,SEC61A1,293,0.20935409055667673,-0.06568659495436562,0.1648499764421312,0.05953226647127285
