sample,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
NCBI785,trainHVGfull,all,cp10k_full,4180,278,0.1312501710405802,0.21286406519415169,0.14861941094686268,0.23602732904288237
NCBI785,trainHVGfull,bench,log1p_raw,4010,280,0.40933177523086495,0.4617977703308899,0.40846414846351375,0.46346118804805647
NCBI785,trainHVGfull,bench,cp10k_panel,4010,280,0.14574071466149818,0.176391952830188,0.17997928237612365,0.2301213666672909
NCBI785,trainHVGfull,bench,cp10k_full,4010,280,0.1452450670309821,0.17967363415646093,0.17603155770427825,0.2255842634292925
NCBI783,hest_var50,all,log1p_raw,3869,50,0.6571120703282662,0.6347781855644812,0.6569969649333596,0.6341495094242176
NCBI783,hest_var50,all,cp10k_panel,3869,50,0.5093486009195229,0.47291229747951485,0.5084746232723197,0.47971326939356046
NCBI783,hest_var50,all,cp10k_full,3869,50,0.46109657562580575,0.43214988104103264,0.46053690601959696,0.445078166621132
NCBI783,hest_var50,bench,log1p_raw,3005,50,0.5878022388062469,0.5616332672340854,0.5869174621048305,0.5603576034053412
NCBI783,hest_var50,bench,cp10k_panel,3005,50,0.3259139439144191,0.21877985371293238,0.3326026987477976,0.32540854277873016
NCBI783,hest_var50,bench,cp10k_full,3005,50,0.28168358843833774,0.18407734596876985,0.31623484044436384,0.3061724190635403
NCBI783,trainHVG50,all,log1p_raw,3869,50,0.6571120703282662,0.6416821937274249,0.6568697042311316,0.6410059575997125
NCBI783,trainHVG50,all,cp10k_panel,3869,50,0.5236662800109291,0.48482400970045947,0.5230839236573674,0.49217025000567516
NCBI783,trainHVG50,all,cp10k_full,3869,50,0.47217987013604645,0.44324400545346465,0.47139965053840716,0.45615923527677443
NCBI783,trainHVG50,bench,log1p_raw,3005,50,0.5914113414689116,0.5578151935918738,0.5911934921654374,0.55690382706337
NCBI783,trainHVG50,bench,cp10k_panel,3005,50,0.34906101130829126,0.24647980538282732,0.3697695081747331,0.34205459448104747
NCBI783,trainHVG50,bench,cp10k_full,3005,50,0.3139392922184889,0.202781816013931,0.3243149058635162,0.31155611980703624
NCBI783,trainHVGfull,all,log1p_raw,3869,278,0.7411562055706751,0.7153195026352727,0.7406901844825403,0.7149322768327206
NCBI783,trainHVGfull,all,cp10k_panel,3869,278,0.5152259757586779,0.4817666559256248,0.5142169775054902,0.48584100621691684
NCBI783,trainHVGfull,all,cp10k_full,3869,278,0.5176137283249393,0.4842666653998599,0.5170874639324473,0.4883596884932439
NCBI783,trainHVGfull,bench,log1p_raw,3005,280,0.6663041171934574,0.6524830563660197,0.6654099388361484,0.6513579188632561
NCBI783,trainHVGfull,bench,cp10k_panel,3005,280,0.3237182827290641,0.22317543141288979,0.3527866577557528,0.3276153333722193
NCBI783,trainHVGfull,bench,cp10k_full,3005,280,0.32498010754761386,0.22263036962758545,0.3531254610024104,0.3321777355182451
