sample,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
MEND149,hest_var50,log1p_raw,0.6596295507020876,0.21919299661585523,0.4070246072185717,0.18783161060271647,0
MEND149,trainHVG737,cp10k_panel,0.6596295507020876,0.21919299661585523,0.22600297259606852,0.006809975980213295,0
MEND149,trainHVG737,log1p_raw,0.6596295507020876,0.21919299661585523,0.4112653268136167,0.1920723301977615,0
MEND150,hest_var50,cp10k_panel,0.7276104871252623,0.23872768283719042,0.3918418112744213,0.15311412843723088,0
MEND150,hest_var50,log1p_raw,0.7276104871252623,0.23872768283719042,0.6646375195997956,0.42590983676260513,0
MEND150,trainHVG737,cp10k_panel,0.7276104871252623,0.23872768283719042,0.2797885958519274,0.041060913014736966,0
MEND150,trainHVG737,log1p_raw,0.7276104871252623,0.23872768283719042,0.6136531714621063,0.37492548862491587,0
MEND151,hest_var50,cp10k_panel,0.6783175680571519,0.22456309850526668,0.3391731357755479,0.11461003727028124,0
MEND151,hest_var50,log1p_raw,0.6783175680571519,0.22456309850526668,0.5320126008034171,0.3074495022981504,0
MEND151,trainHVG737,cp10k_panel,0.6783175680571519,0.22456309850526668,0.246523938558685,0.021960840053418335,0
MEND151,trainHVG737,log1p_raw,0.6783175680571519,0.22456309850526668,0.4888954932134059,0.26433239470813924,0
MEND152,hest_var50,cp10k_panel,1.0033110304579884,0.3179517107548234,0.3856677609648405,0.06771605021001709,0
MEND152,hest_var50,log1p_raw,1.0033110304579884,0.3179517107548234,0.493930975708947,0.17597926495412358,0
MEND152,trainHVG737,cp10k_panel,1.0033110304579884,0.3179517107548234,0.251727883896326,-0.06622382685849743,0
MEND152,trainHVG737,log1p_raw,1.0033110304579884,0.3179517107548234,0.42369306212033586,0.10574135136551244,0
MEND153,hest_var50,cp10k_panel,1.1218587607220691,0.3520170360475601,0.4707861541896764,0.11876911814211633,0
MEND153,hest_var50,log1p_raw,1.1218587607220691,0.3520170360475601,0.5567645309294336,0.2047474948818735,0
MEND153,trainHVG737,cp10k_panel,1.1218587607220691,0.3520170360475601,0.32973639800067583,-0.022280638046884238,0
MEND153,trainHVG737,log1p_raw,1.1218587607220691,0.3520170360475601,0.501504790050943,0.14948775400338288,0
MEND154,hest_var50,cp10k_panel,1.8479537229616931,0.5606643127774511,0.4456879025198206,-0.1149764102576305,1
MEND154,hest_var50,log1p_raw,1.8479537229616931,0.5606643127774511,0.5572363193411287,-0.003427993436322385,1
MEND154,trainHVG737,cp10k_panel,1.8479537229616931,0.5606643127774511,0.3531744454815427,-0.2074898672959084,1
MEND154,trainHVG737,log1p_raw,1.8479537229616931,0.5606643127774511,0.532004223870974,-0.028660088906477088,1
MEND156,hest_var50,cp10k_panel,3.4074135517461737,1.0087834478309787,0.678180113417019,-0.3306033344139597,1
MEND156,hest_var50,log1p_raw,3.4074135517461737,1.0087834478309787,0.6741785604124417,-0.334604887418537,1
MEND156,trainHVG737,cp10k_panel,3.4074135517461737,1.0087834478309787,0.531771689161369,-0.47701175866960976,1
MEND156,trainHVG737,log1p_raw,3.4074135517461737,1.0087834478309787,0.6508160214367361,-0.3579674263942426,1
MEND157,hest_var50,cp10k_panel,2.5489883120111605,0.7621103570351695,0.5010638381798208,-0.2610465188553487,1
MEND157,hest_var50,log1p_raw,2.5489883120111605,0.7621103570351695,0.5427766668834453,-0.21933369015172421,1
MEND157,trainHVG737,cp10k_panel,2.5489883120111605,0.7621103570351695,0.4049989810272744,-0.3571113760078951,1
MEND157,trainHVG737,log1p_raw,2.5489883120111605,0.7621103570351695,0.5239803928516427,-0.23812996418352683,1
MEND158,hest_var50,cp10k_panel,2.849590044615162,0.8484898750732153,0.5047310746350198,-0.3437588004381955,1
MEND158,hest_var50,log1p_raw,2.849590044615162,0.8484898750732153,0.5214203814396754,-0.3270694936335399,1
MEND158,trainHVG737,cp10k_panel,2.849590044615162,0.8484898750732153,0.4151980564363653,-0.43329181863684996,1
MEND158,trainHVG737,log1p_raw,2.849590044615162,0.8484898750732153,0.48759212755105286,-0.3608977475221624,1
MEND159,hest_var50,cp10k_panel,2.3695589031390485,0.7105503552814797,0.3835338590498272,-0.3270164962316525,1
