sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
MEND159,0,hest_var50,all,cp10k_full,3856,50,0.3104119426333234,0.35041682754631326,0.3087155524199334,0.34919930031893115
MEND158,0,hest_var50,all,cp10k_full,3092,50,0.4286049538708477,0.43968115805754243,0.42772116440043834,0.4386539617648924
MEND157,0,hest_var50,all,cp10k_full,3190,50,0.41306173500551524,0.43146183766038215,0.41241999586560596,0.4305123190871948
MEND156,0,hest_var50,all,cp10k_full,3554,50,0.5777116229097491,0.5706259127560708,0.5773130579938603,0.5700089779763357
MEND154,0,hest_var50,all,cp10k_full,2736,50,0.3291563269378919,0.3659966584080043,0.326256511449041,0.36388659145609237
MEND162,0,trainHVG50,all,log1p_raw,2609,50,0.46641513492052067,0.46236407219546083,0.46466287324544425,0.4605279421127363
MEND161,0,trainHVG50,all,log1p_raw,2775,50,0.5939092016821417,0.5764656909358515,0.5931152928085317,0.5754341870558785
MEND160,0,trainHVG50,all,log1p_raw,4079,50,0.3037071440902668,0.3088732391197849,0.30120493010640886,0.3074090732929168
MEND159,0,trainHVG50,all,log1p_raw,3856,50,0.296765757521814,0.337660291254399,0.29352907592560784,0.33526151685515193
MEND158,0,trainHVG50,all,log1p_raw,3092,50,0.40946694136925393,0.4173922002200006,0.4081175625806841,0.41586450220585147
MEND157,0,trainHVG50,all,log1p_raw,3190,50,0.48944642547112616,0.4787419235766402,0.4885238991320078,0.47782229043202407
MEND156,0,trainHVG50,all,log1p_raw,3554,50,0.5560882676018684,0.5598723574298633,0.555533424824529,0.559310875771601
MEND154,0,trainHVG50,all,log1p_raw,2736,50,0.4553862860854134,0.44424134631326395,0.4536918266443294,0.4427809937543517
MEND162,0,trainHVG50,all,cp10k_panel,2609,50,0.3940095519484372,0.3652933292963032,0.39198666568910967,0.37544390839842123
MEND161,0,trainHVG50,all,cp10k_panel,2775,50,0.5691994352038463,0.5434062760588383,0.5684623402137521,0.5542127707048192
MEND160,0,trainHVG50,all,cp10k_panel,4079,50,0.2774209296229786,0.2828617225495689,0.27648798240540884,0.2859058520329593
MEND159,0,trainHVG50,all,cp10k_panel,3856,50,0.2575054482852314,0.2905349616483758,0.25471056012418847,0.29814502096602125
MEND158,0,trainHVG50,all,cp10k_panel,3092,50,0.3942456180319762,0.3951011754194385,0.3935767477270331,0.40501149558875693
MEND157,0,trainHVG50,all,cp10k_panel,3190,50,0.4378191716789696,0.419957628472922,0.4367029086382398,0.4313043294830232
MEND156,0,trainHVG50,all,cp10k_panel,3554,50,0.5387959073797974,0.5382317102002642,0.5381214173888614,0.5521758513134584
MEND154,0,trainHVG50,all,cp10k_panel,2736,50,0.3404142007793094,0.3462084728667876,0.3378314999816907,0.34654237871159227
MEND162,0,trainHVG50,all,cp10k_full,2609,50,0.25704474933264515,0.23253106973945636,0.2727338142068214,0.27682661852433343
MEND161,0,trainHVG50,all,cp10k_full,2775,50,0.4155154637698488,0.38876634557469464,0.41376012139004636,0.43570478798031714
MEND160,0,trainHVG50,all,cp10k_full,4079,50,0.21037884505402166,0.21118105884567653,0.20892783377328322,0.22687309935026762
MEND159,0,trainHVG50,all,cp10k_full,3856,50,0.17667400950512657,0.20170755020962372,0.1746881090282368,0.2246097026355592
MEND158,0,trainHVG50,all,cp10k_full,3092,50,0.31155666553552847,0.2922173417313977,0.3105398293660798,0.3249765987063662
MEND157,0,trainHVG50,all,cp10k_full,3190,50,0.34071012761226016,0.2998580077616666,0.34461268310340787,0.3447391086509083
MEND156,0,trainHVG50,all,cp10k_full,3554,50,0.4066045721020548,0.36652699505070563,0.4056139972562364,0.41336050685220405
