sample,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
NCBI682,hest_var50,all,cp10k_full,4988,50,0.26004475738472677,0.26816061676056274,0.25899144165696203,0.27389618590123327
NCBI682,hest_var50,in_tissue,log1p_raw,4859,50,0.37862571600574757,0.3750150506041634,0.37745707389840655,0.3847569459334676
NCBI682,hest_var50,in_tissue,cp10k_panel,4859,50,0.33385851232529107,0.3373280673533956,0.3329605490667823,0.3454663461757132
NCBI682,hest_var50,in_tissue,cp10k_full,4859,50,0.20433489297142243,0.17647579719078219,0.22985345433908133,0.23690112347015757
NCBI682,trainHVG50,all,log1p_raw,4988,50,0.32250953149004746,0.32697877279035986,0.3215441983777759,0.338864753997627
NCBI682,trainHVG50,all,cp10k_panel,4988,50,0.3175412744923458,0.34264619028719373,0.31612002982361753,0.35377015427098774
NCBI682,trainHVG50,all,cp10k_full,4988,50,0.16293394339531858,0.17067631328639904,0.1711874021277119,0.17703930365395704
NCBI682,trainHVG50,in_tissue,log1p_raw,4859,50,0.29732829496107743,0.2948460069807368,0.2963190488136933,0.30682012255167973
NCBI682,trainHVG50,in_tissue,cp10k_panel,4859,50,0.2761309663179212,0.2931233874751593,0.2756427033840111,0.3055448561740636
NCBI682,trainHVG50,in_tissue,cp10k_full,4859,50,-0.003218612709716112,0.026561772253208136,0.09404270668710041,0.11706579336841579
NCBI682,trainHVG737,all,log1p_raw,4988,737,0.34588494554286053,0.3669317432909586,0.34555302289862555,0.3670677580099063
NCBI682,trainHVG737,all,cp10k_panel,4988,737,0.28733280611246087,0.3133802940260578,0.2868292127916734,0.3140246354439166
NCBI682,trainHVG737,all,cp10k_full,4988,737,0.1897216770110904,0.22042172902176463,0.1895485669099812,0.22270210204505803
NCBI682,trainHVG737,in_tissue,log1p_raw,4859,737,0.32915246517640506,0.3485261460489824,0.3268798837513513,0.34798212006062884
NCBI682,trainHVG737,in_tissue,cp10k_panel,4859,737,0.2426954425000046,0.2548560265091384,0.2473849406271398,0.2717901265824895
NCBI682,trainHVG737,in_tissue,cp10k_full,4859,737,0.12006198569597543,0.1012369619023384,0.14328167267800346,0.17604150943975305
NCBI683,hest_var50,all,log1p_raw,4992,50,0.2264143960727082,0.27574215995471585,0.23015769728449142,0.2864371837235338
NCBI683,hest_var50,all,cp10k_panel,4992,50,0.20620233083786432,0.25375661192224536,0.21206326231999828,0.2643675881624485
NCBI683,hest_var50,all,cp10k_full,4992,50,0.11799082205084438,0.15598131035880886,0.1156493631894154,0.1526254211426224
NCBI683,hest_var50,in_tissue,log1p_raw,4454,50,0.19203321406686152,0.2377698113859396,0.18858820496808829,0.23769022819427024
NCBI683,hest_var50,in_tissue,cp10k_panel,4454,50,0.16042026828526917,0.20123991790952658,0.1571697016739715,0.2006016143995087
NCBI683,hest_var50,in_tissue,cp10k_full,4454,50,0.08513789128085032,0.1013629748822818,0.07794872822054127,0.1097717767642132
NCBI683,trainHVG50,all,log1p_raw,4992,50,0.1327783263923039,0.199561313106936,0.13158536296210133,0.20734021315240675
NCBI683,trainHVG50,all,cp10k_panel,4992,50,0.11889710264361894,0.19031154416042176,0.12481002053606297,0.19704076290964812
NCBI683,trainHVG50,all,cp10k_full,4992,50,0.0657485746237639,0.10982234368076538,0.05630527331188711,0.10691959500819519
NCBI683,trainHVG50,in_tissue,log1p_raw,4454,50,0.11095207548480619,0.16881650152064426,0.11022218703610685,0.16803807502650844
NCBI683,trainHVG50,in_tissue,cp10k_panel,4454,50,0.10479195975831411,0.14904930906824143,0.10224371951835787,0.14789080035764693
NCBI683,trainHVG50,in_tissue,cp10k_full,4454,50,0.07179517135111105,0.07940615365131885,0.06108164279147387,0.07713999829636618
NCBI683,trainHVG737,all,log1p_raw,4992,737,0.2882864403934338,0.3047925508307049,0.28727129986440125,0.30408294434088395
NCBI683,trainHVG737,all,cp10k_panel,4992,737,0.23957613205854472,0.2517017039841543,0.23831740737827203,0.24956285591252755
NCBI683,trainHVG737,all,cp10k_full,4992,737,0.15135914985008037,0.1614942104727057,0.14939009027755784,0.16147850344675332
NCBI683,trainHVG737,in_tissue,log1p_raw,4454,737,0.2475709831362753,0.2626970053263508,0.2456467731995549,0.25912947521981666
NCBI683,trainHVG737,in_tissue,cp10k_panel,4454,737,0.18681787513737977,0.1923828830315967,0.184480235483828,0.18803861984801004
NCBI683,trainHVG737,in_tissue,cp10k_full,4454,737,0.10525361696337734,0.12244144076645892,0.10074707872074615,0.12355149295231102
NCBI684,hest_var50,all,log1p_raw,4992,50,0.3676628256720074,0.37738859854359014,0.3667044923991128,0.3763725737534477
NCBI684,hest_var50,all,cp10k_panel,4992,50,0.3626332464236989,0.36579504129826546,0.3619758644161485,0.37239910250126185
