section,patient,panel,target,smooth,n_genes,med_all,mean_all,heg50_mean,top50_testpcc,top100_testpcc
C2,C,hvg737_train,cp10k,raw,737,0.17508128055816463,0.1823023710208574,0.1873907077625241,0.44141223132908464,0.39644920835722686
C3,C,hvg737_train,cp10k,raw,737,0.18309606319040714,0.18310292548468607,0.20414731837321237,0.44385300822445184,0.39873110180852445
C4,C,hvg737_train,cp10k,raw,737,0.1860354170649388,0.1921952351933646,0.2129842669550801,0.4663676560494212,0.42858198600885106
C5,C,hvg737_train,cp10k,raw,737,0.21122504302075723,0.2152158286286697,0.26456635226828534,0.4768877845986152,0.43777617260501145
C6,C,hvg737_train,cp10k,raw,737,0.17231189475236053,0.17395289790850926,0.16719628668381376,0.4539238546172595,0.4096244929997455
C1,C,hvg737_train,cp10k,smooth,737,0.2607407910900845,0.24081848249907672,0.15563440108254073,0.5236369790856344,0.48866205054984024
C2,C,hvg737_train,cp10k,smooth,737,0.24521465362893446,0.23235181580487219,0.2049744692922711,0.5123688257773518,0.4771024138428167
C3,C,hvg737_train,cp10k,smooth,737,0.2640534300714267,0.2492406825140371,0.1972711293262999,0.5145378380677886,0.48213220821261615
C4,C,hvg737_train,cp10k,smooth,737,0.2676264297389227,0.2510063728562867,0.1986704086955291,0.5473871402621899,0.5120380176125416
C5,C,hvg737_train,cp10k,smooth,737,0.31133061479709456,0.2956552390820032,0.2487663242064716,0.6026673287356409,0.5643133911889784
C6,C,hvg737_train,cp10k,smooth,737,0.21283084344256412,0.2114716627599552,0.15039111260283414,0.5282962779843118,0.48934597265746627
C1,C,hvg737_train,scprep,raw,737,0.10615427414129655,0.1149936783986313,0.16397337853218827,0.37859817242297567,0.3360260398661273
C2,C,hvg737_train,scprep,raw,737,0.11063488167626866,0.12169811484491257,0.17959352382985774,0.40092060684503855,0.3534334431830827
C3,C,hvg737_train,scprep,raw,737,0.10565827271981158,0.12336668269987222,0.2045160170964316,0.4163241615156121,0.3696644490653698
C4,C,hvg737_train,scprep,raw,737,0.11843886711764,0.13946336041800822,0.22338000874690697,0.4374653498515088,0.3946718587550575
C5,C,hvg737_train,scprep,raw,737,0.14128724485843974,0.1453432508819086,0.24203710108355916,0.4360837711126807,0.38790493819163685
C6,C,hvg737_train,scprep,raw,737,0.09823049965369984,0.10580218538643664,0.14591641938320582,0.3905083065456808,0.34353836666523974
C1,C,hvg737_train,scprep,smooth,737,0.13626567481945048,0.13389730436935365,0.12367747627755545,0.4383345008888066,0.39305829995270924
C2,C,hvg737_train,scprep,smooth,737,0.13225052680538946,0.13828063034545976,0.17190484042695484,0.440285015923223,0.40287112690588
C3,C,hvg737_train,scprep,smooth,737,0.1633969291292609,0.15154375531695832,0.18931386894671415,0.45118507614145303,0.41019627437281736
C4,C,hvg737_train,scprep,smooth,737,0.1715379124651714,0.16225613640241168,0.20404267295084874,0.476621456358141,0.43464986686797347
C5,C,hvg737_train,scprep,smooth,737,0.19280715805552426,0.17755365448254648,0.2041166799296044,0.5173953109185091,0.47030172826881483
C6,C,hvg737_train,scprep,smooth,737,0.0903793308357498,0.0975613695902576,0.10901044677302334,0.43518585287433786,0.3834469599653193
C1,C,htg785_fixed,cp10k,raw,785,0.13471523772874042,0.13819093335234858,0.189683377561925,0.3483752777450607,0.30768165729410685
C2,C,htg785_fixed,cp10k,raw,785,0.13962798722757816,0.14364150822781824,0.1721457123543413,0.35637957382293023,0.3216987001882159
C3,C,htg785_fixed,cp10k,raw,785,0.1476005547372412,0.1474882686164339,0.1967461147401769,0.3618155096667192,0.32357537040805895
C4,C,htg785_fixed,cp10k,raw,785,0.15779324798346517,0.1579349829511134,0.20216067747632166,0.38315138443150987,0.34826863590531887
C5,C,htg785_fixed,cp10k,raw,785,0.15892843499519352,0.16181520951907893,0.24149569268773213,0.3984165608379773,0.35264846039063696
C6,C,htg785_fixed,cp10k,raw,785,0.1326401677899893,0.1353425774950097,0.18459934072882764,0.3602242558526612,0.31582716848153897
C1,C,htg785_fixed,cp10k,smooth,785,0.18749606378600597,0.17973764812209075,0.18444613594206627,0.44460104771872244,0.4064160061179159
C2,C,htg785_fixed,cp10k,smooth,785,0.20671802100331146,0.19855716343107305,0.19978025802304702,0.44717411914550204,0.4121557319102658
C3,C,htg785_fixed,cp10k,smooth,785,0.22626382255319608,0.21822700603575212,0.2011115125991919,0.46611845886723324,0.43179859762249817
C4,C,htg785_fixed,cp10k,smooth,785,0.2420651811472663,0.22853318614329482,0.20735526993682915,0.5079749561310951,0.46964181217382717
C5,C,htg785_fixed,cp10k,smooth,785,0.26601359696012344,0.25165771645660767,0.23289411940366386,0.531605557357392,0.49444229683250507
C6,C,htg785_fixed,cp10k,smooth,785,0.1972192498923653,0.19152246890046448,0.17090009960027935,0.4652317827786344,0.4280181776323067
