tag,section,patient,model,n_labeled,r_full,dg,crg,drg,drg_ci_lo,drg_ci_hi,perm_max,perm_p95,g4_pass
phikon_p50,H1,H,LAB|dc_oracle,530,0.024037149558301447,0.03331499844932225,-0.03802491147088789,,,,,,
phikon_p50,H1,H,LAB|full_oracle,530,0.11251466842520795,0.04861496574069693,0.03311211193149975,0.02421610831258279,,,,,
phikon_p50,H1,H,LAB|delta_oracle,530,0.10456966687581748,0.015215622627361623,0.04555300911043453,0.02421610831258683,,,,,
phikon_p50,H1,H,LAB|comp_oracle,530,0.08760136142015859,0.033314998449324174,,,,,,,
phikon_p50,H1,H,LAB|dc_image,530,0.05555483242681462,0.05105902721802344,0.035222433664204696,0.04245345609960103,,,,,
phikon_p50,H1,H,LAB|full_image,530,0.10120635851551837,0.03438895125589987,0.035579476835284646,0.02208704771544817,,,,,
phikon_p50,H1,H,LAB|delta_image,530,0.04906258881499757,-0.007648386515949293,0.007233472323425887,-0.008971768302128678,,,,,
phikon_p50,H1,H,LAB|comp_image,530,0.13433741168166513,0.05105902721802419,0.05511681200558837,0.04245345609959926,,,,,
phikon_p50,H1,H,LAB|ridge_naive_labrows,530,0.14960924259608832,0.028240526103236834,0.050825503374229725,0.021681696138001173,,,,,
phikon_cat,A1,A,depth,340,-0.0017713302548104971,,-0.0005457133035147983,,,,,,
phikon_cat,A1,A,dc_image,340,0.0645109745100131,0.04451542776055676,0.04074330723145686,0.03306868429368555,,,,,
phikon_cat,A1,A,full_image,340,0.04291304883117597,0.03119106628810252,0.022636736097147836,0.02329814803482656,0.013129366763222534,0.03393014817280157,0.013242527229405473,0.009231295895488338,False
phikon_cat,A1,A,delta_image,340,-0.004187616803714691,0.0033512851991796535,-0.003473253151869017,-0.00022611998297148098,-0.010594606816356432,0.012879838866150559,0.019965117221026524,0.00920077659896472,False
phikon_cat,A1,A,comp_image,340,0.06860734113219058,0.044515427760557454,0.04209987564930467,0.03306868429368577,,,,,
phikon_cat,A1,A,dc_nmf,340,0.046649527691210835,0.02173311067919209,0.023751270259308732,0.014263051826615195,,,,,
phikon_cat,A1,A,full_nmf,340,0.058635796453280195,0.03379946568108203,0.032562897012861226,0.02395974222292668,,,,,
phikon_cat,A1,A,delta_nmf,340,0.010555080236453114,0.013759578987840927,0.015952745657593057,0.013374274396083451,0.0035128844764617776,0.024222143951314935,0.015729084358283005,0.008811054100686198,False
phikon_cat,A1,A,comp_nmf,340,0.04849186178094348,0.021733110679187047,0.024222668973301453,0.01426305182661663,,,,,
phikon_cat,A1,A,ridge_naive,340,0.07290490839108892,0.03985354085533122,0.03591178157529453,0.01918145543442957,0.01084043150967875,0.03330435735964042,0.0140044802023494,0.009320596671398408,False
phikon_cat,A1,A,LAB|depth,340,-0.024841335736256458,,-0.011834584542220621,,,,,,
phikon_cat,A1,A,LAB|dc_oracle,340,0.051602691691285216,0.03815133294485164,-0.0118345845422206,,,,,,
phikon_cat,A1,A,LAB|full_oracle,340,0.04670906401952857,0.025721817555866354,0.013524651100969759,0.008242941316815204,,,,,
phikon_cat,A1,A,LAB|delta_oracle,340,0.016412039986671484,-0.0009687890411689649,0.021330695324319637,0.008242941316814452,,,,,
phikon_cat,A1,A,LAB|comp_oracle,340,0.06029020604818305,0.03815133294485155,,,,,,,
phikon_cat,A1,A,LAB|dc_image,340,0.04536800171003071,0.03091841289598288,0.012831894930197122,0.015784351933168093,,,,,
phikon_cat,A1,A,LAB|full_image,340,0.03195359425113306,0.025427097985996745,0.00842282875000789,0.009133162325786101,,,,,
phikon_cat,A1,A,LAB|delta_image,340,0.00029351652777616816,-0.00016656280488629619,-0.003432116320295447,-0.003583588417691922,,,,,
phikon_cat,A1,A,LAB|comp_image,340,0.05427628788178236,0.030918412895981354,0.019624501371344562,0.015784351933168884,,,,,
phikon_cat,A1,A,LAB|ridge_naive_labrows,340,0.07290490839108892,0.03985354085533122,0.03591178157529453,0.01918145543442957,,,,,
phikon_cat,B1,B,depth,268,0.25491514971311263,,0.08000571164611611,,,,,,
phikon_cat,B1,B,dc_image,268,0.15589858923678626,0.04019649934151883,0.026761330902783046,0.006557147944906682,,,,,
phikon_cat,B1,B,full_image,268,0.19793146621506474,0.06061584970420138,0.07015461172223778,0.045236106953551736,0.030690424491813074,0.057041109442996264,0.017326166616505587,0.01046903940932624,False
phikon_cat,B1,B,delta_image,268,0.05018987994676758,0.0040275897759184005,0.03546735570650569,0.030599162892796235,0.01114351906547668,0.05006195208942005,0.02913834169112919,0.015556518167251595,False
phikon_cat,B1,B,comp_image,268,-0.05062268319397685,0.040196499341518845,-0.012413986586652473,0.006557147944907046,,,,,
phikon_cat,B1,B,dc_nmf,268,0.14530986336658547,0.03116831124990547,0.01979484168350112,0.0016259683868782443,,,,,
phikon_cat,B1,B,full_nmf,268,0.10639604542591535,0.05582519552636111,0.03039686312823736,0.03235794017456817,,,,,
phikon_cat,B1,B,delta_nmf,268,-0.027285385061607447,0.03223655805921056,0.010667343832653981,0.02715317729827129,0.01414557436670388,0.040242615649511176,0.014959435702279573,0.009605128577901027,False
phikon_cat,B1,B,comp_nmf,268,-0.1257537733886657,0.031168311249904934,-0.030222271874440133,0.0016259683868786016,,,,,
phikon_cat,B1,B,ridge_naive,268,0.23144350263851665,0.017072602822798134,0.07730048050298712,0.020434967635529145,0.010858974490697839,0.037690220262080035,0.025583250803990733,0.00994951432133917,False
phikon_cat,B1,B,LAB|depth,268,0.23895464682591605,,0.06903148420354356,,,,,,
phikon_cat,B1,B,LAB|dc_oracle,268,0.2195041501109117,0.030423874914444073,0.06903148420354345,,,,,,
phikon_cat,B1,B,LAB|full_oracle,268,0.20916103216984622,0.039303652046922835,0.06389807116556188,0.0284964323616291,,,,,
phikon_cat,B1,B,LAB|delta_oracle,268,0.0010262237704150295,-0.004486824362644766,0.03800041420553329,0.02849643236162906,,,,,
