section,gene,r_tech,r_nbr
A1,BCAP31,0.7675319939872588,-0.0801446527971093
A1,SLC25A6,0.7799913151691554,0.166902580262188
A1,LAPTM5,0.7885019834565667,0.1722087031243335
A1,HLA-B,0.8325364896288235,0.37930832239685636
A1,TCEB2,0.8131070312169179,0.109149697555368
A1,CYBA,0.7646892121717547,0.2570240362513339
A1,GNB2,0.6786309583757604,0.12006485253690595
A1,BST2,0.7929349195673794,0.010113265177452877
A1,LGALS3BP,0.7925828506201299,-0.1246689310824595
A1,FKBP2,0.7716775296169177,0.07591657346721581
A1,RARRES2,0.7963544075675507,0.020427651106406552
A1,PRDX1,0.7420977234193065,0.09218547941951846
A1,LASP1,0.7472877672559259,-0.14708529862177044
A1,IGLC7,0.8050964469041489,-0.010997087207884828
A1,XBP1,0.803195550922021,0.14756461110094213
A1,NDUFS5,0.7903390838618541,0.02405837230302438
A1,TIMP1,0.8082733982847412,0.2971613683952956
A1,COL18A1,0.7813728734033631,0.10729842042199483
A1,KRT7,0.777031928858026,0.1937912620271125
A1,TYMP,0.7844571208710733,0.028193632991191046
A1,IGFBP7,0.7883472756850654,0.21856391116614968
A1,SCAND1,0.7655884398386091,0.14033862346701947
A1,COX6B1,0.7669841696134688,-0.05371260794948052
A1,NDUFS6,0.7917180555037104,0.053722614286805775
A1,COL6A2,0.7715649135494844,0.16066495340871823
A1,S100A11,0.7428055164904918,-0.05564821452218916
A1,CHPF,0.7748181934784832,-0.011567155381093193
A1,C1QB,0.8123214478890824,0.055080340529019105
A1,CTSB,0.7966709163323398,0.296185550658153
A1,NUCKS1,0.7381546671927534,0.053824964814991334
A1,NDUFB7,0.7387988191786548,0.053021378641447146
A1,ARHGDIA,0.7774165223511581,0.0690102710586988
A1,GRINA,0.7510118630467396,0.12384742195869977
A1,MIDN,0.7558891907633697,0.09625553438680898
A1,CD99,0.7110782474898869,0.14402340079487183
A1,PLD3,0.7554991462503667,0.07599391736765534
A1,SYNGR2,0.7186745246450221,0.27981010579021287
A1,ACTN4,0.7180329320123215,0.03270828570485914
A1,MAPKAPK2,0.7732233187489842,0.06722964422318778
A1,CLU,0.8041848224027176,0.16840069926736653
A1,HLA-DPA1,0.7881485263109849,0.2330064110148734
A1,PHB,0.7334683903505048,0.24239441423893784
A1,NDUFA3,0.7985988640706513,0.24599646916773568
A1,C12orf57,0.7681917522161854,0.020757240112028296
A1,CCND1,0.7489043537660662,0.0703464667217547
A1,CD81,0.7294412077591771,0.07759023054755103
A1,INTS1,0.7906934236124072,0.29221568648773294
A1,GUK1,0.8141752692629255,0.25026351473699854
A1,TPI1,0.7810827592545354,0.24969593655932304
A1,SPDEF,0.6911402886428472,0.06797598150125397
A1,SLC9A3R1,0.7474442556752916,0.18174853167679986
A1,LMAN2,0.7544019652765007,0.26235806265810896
A1,ASS1,0.7961838250582426,0.03857941239126539
A1,COX4I1,0.7757836210139621,-0.03586225500484825
A1,IFI6,0.7824026550310382,-0.020767558467746753
A1,COPE,0.822031909308196,0.3708382913187846
A1,COX5B,0.7800208041927997,-0.10838782960160098
A1,EIF4EBP1,0.7784772214691535,-0.06227628004373073
A1,PFDN5,0.7985174532393424,0.1027592685375192
A1,CRIP2,0.7438410342534105,0.13146830278285415
A1,BSG,0.7974999225378742,0.3856671054977939
A1,ATG10,0.7930741042563677,0.187642788379236
A1,WDR34,0.7826418791090428,0.27459043664340904
A1,SELM,0.771645117988058,-0.02557246766295562
A1,HLA-E,0.7695765700752579,0.11491376490587277
A1,UBC,0.7621920722568716,0.0023593933246667874
A1,PLXNB2,0.7865017495690175,0.033811509924549434
A1,ZYX,0.7835483458524378,0.1284738310872746
A1,EIF4G2,0.77321770923553,0.15873491259659916
A1,CHCHD2,0.7952980441839534,0.27881048328879515
A1,ROMO1,0.773203531503884,0.020293161759578546
A1,COPS9,0.780958985011148,0.2906931573097703
A1,PRSS8,0.7762517983887938,0.2281719656443209
A1,STARD10,0.7029281892418114,0.23494903131188394
A1,ENO1,0.781113823320591,0.022502573274603907
A1,HNRNPA2B1,0.8149082029800232,0.18781923923948152
A1,G6PD,0.7624359159851153,0.09100938383448265
A1,H1FX,0.7471683803045431,0.23815491592439242
A1,SEC61A1,0.7704745984177268,0.20699762963292376
A1,CTSZ,0.8059890493664222,0.23668744999782676
A1,MMP9,0.8371215557481743,0.1747290255577667
A1,MRPL12,0.7529839017959535,0.186817009834373
A1,RRBP1,0.7380334710554147,0.104204514233576
A1,PFKL,0.7603212590037424,0.09984738525967336
A1,IDH2,0.8015786607978518,0.04789506129661597
A1,CST3,0.7985788145120091,0.07497067273583348
A1,NUPR1,0.7628080627379649,0.08099961776729302
A1,TUBB,0.7960141508910614,0.3715104484851704
A1,EEF2,0.8142324313598269,0.1626218588888428
A1,PRRC2A,0.7260919115528618,0.09338524840537892
A1,ENG,0.7857444748878966,0.10501488069410214
A1,PTOV1,0.7992471400175455,0.14309759864201763
A1,GRN,0.7639332145182762,0.20809697515600029
A1,SSR4,0.766231332466914,0.2581949386733533
A1,LGALS3,0.7866915331140443,0.0714238598603812
A1,TUFM,0.7747853811248343,0.2755392332312187
A1,ALDOA,0.7625021359439199,0.048584683816477396
A1,PTRF,0.7980261158130288,0.022584421581253483
A1,UQCRC1,0.8196172605141995,0.11125830513373344
A1,UBL5,0.7844805760421891,0.10238469628721104
A1,CD24,0.8063110245202497,0.41037899052173465
A1,PRDX2,0.7731685160134981,0.02710782189387735
A1,COX6C,0.7913079916732234,0.27711822203986686
A1,P4HB,0.7954220455394208,-0.004146787998969938
A1,SSR2,0.775481635149287,0.04915728779306963
A1,IFITM3,0.8118513543037174,0.2451350136704897
A1,EIF4G1,0.7769834612751485,0.22832826664075012
A1,CAPNS1,0.7640617529348817,-0.05977196679176424
A1,SNF8,0.775317082967952,-0.047399202198365506
A1,RABAC1,0.7867518595478822,0.17714615555425894
A1,VMP1,0.8017134805711946,0.3426263820883656
A1,OAZ1,0.7704562063946417,0.21175811210901574
A1,TPM2,0.8594826197618751,-0.014583546318067913
A1,PTMA,0.7792455095023904,0.26699222504912357
A1,SEPW1,0.7227803410386023,0.30730634587451394
A1,AES,0.785636615934187,0.15836765614260198
A1,MZT2A,0.7821114749396171,0.17563064137706214
A1,CD52,0.7986941590316957,0.2077413174195989
A1,PPDPF,0.7451575073709086,0.13434422493043555
A1,RALY,0.7854030087078834,0.3439920446207
A1,ATP5G2,0.7678886119600317,0.005988249111449717
A1,SERINC2,0.7796605457868527,0.16807782347620637
A1,KRT81,0.8056159207619467,0.3859873639694834
A1,JCHAIN,0.8492238778011222,0.4422889765448507
A1,TSPO,0.7729432283990829,0.16834726275819403
A1,ATP1A1,0.7238034272693844,0.10349466154395072
A1,SMARCD2,0.775179318333497,-0.009581390722933548
A1,SNRPB,0.7813744888604814,0.15324900050720278
A1,HSPA8,0.7506930653332011,0.050916916374397166
A1,ZFP36L2,0.7944473019803959,0.1100798530751181
A1,UQCRQ,0.8102652501499858,0.21018166458336113
A1,LSM4,0.7473202482981935,0.16034410519133593
A1,MAP2K2,0.7768820668406846,0.1660007875523795
A1,GNAI2,0.7867216687800126,0.17065687316826927
A1,GPX1,0.7691704316484571,0.05975029483305683
A1,UBE2M,0.738213650311464,0.29935878571194574
A1,SNRPD2,0.7718691993444969,0.05441802920758968
A1,MYH9,0.7572124132185397,0.3000948024728436
A1,NDUFB10,0.8008081176188436,0.1624868109249694
A1,SPINT2,0.7195403991996223,0.21552151276275439
A1,NDUFA11,0.7939018721529726,0.08274478802507189
A1,LAPTM4A,0.745050252438734,0.05086795696261211
A1,PLEC,0.7700707782774484,0.0539952225392618
A1,SOX4,0.7735603414334097,-0.04120370363534029
A1,COX8A,0.7531728996818715,0.12304864943621754
A1,VWF,0.8131382979022659,0.09413291995029222
A1,HDLBP,0.7699409098048698,0.04002048829791033
A1,PTBP1,0.7240353261111769,0.13243943706181566
A1,UQCR11,0.7579089549446527,0.01148810922284069
A1,CIRBP,0.7820200035415246,-0.030915948061723
A1,NDUFA13,0.7519085680419897,0.09463963449142493
A1,FBXW5,0.7967451365898264,0.2680914787509033
A1,RHOC,0.7660932754110774,0.11030859708559568
A1,APRT,0.7730845657553459,-0.08268356464469628
A1,EVL,0.7800322138588665,0.15879970432188045
A1,FAU,0.7564670673355768,0.16481156452802379
A1,SERPINF1,0.8038925688205448,0.14576080994747015
A1,VAMP8,0.777942936926886,0.058279685275479186
A1,EIF3G,0.8165588614050724,-0.012114945395048293
A1,MVP,0.7879271250136154,0.09727565980553927
A1,CD74,0.8263739995515467,0.21590737898292883
A1,CIB1,0.7723153709255556,0.15809285762357791
A1,CD63,0.7360828775382658,0.12973434169242454
A1,PSMC5,0.7882266955850846,0.025144643295543133
A1,PSMB4,0.7671294644677374,0.034051914859670886
A1,DPP7,0.79182122194304,0.04989142782135051
A1,EIF3B,0.7573955671651714,0.09903993703387066
A1,CD14,0.7847932167929587,0.12727916960774457
A1,EDF1,0.7743254471322609,0.1785789114831964
A1,POLR2L,0.7574820792253217,-0.030643381024985695
A1,CLDN4,0.7738073526319706,0.28352966947478503
A1,FXYD5,0.7743593613102301,0.13923138422847098
A1,HSP90AB1,0.7853515384428594,0.36278214321753427
A1,C19orf70,0.7808920049851024,0.15625204013073832
A1,COX7C,0.826932618350034,0.3192470896290123
A1,NNMT,0.7840751134407641,0.10885506287359896
A1,CAPG,0.7996469020918283,0.008275532295322833
A1,PSMD8,0.8031046706920201,0.14387087279196473
A1,PLXND1,0.8018176010332055,0.2959147631668199
A1,CD151,0.7149825161713771,0.11472199163977971
A1,AP2S1,0.7661167330558121,-0.002028416191834909
A1,NENF,0.7887569147554031,0.10382540761264679
A1,C1R,0.8006599829976122,-0.0657383466873527
A1,SLC2A4RG,0.7648262193741203,0.012537558550372842
A1,SH3BGRL3,0.7693275471812878,0.19707163055238344
A1,GPX4,0.7854178439068694,0.13280137150296303
A1,AP2M1,0.7707733263352219,-0.06803270920790072
A1,LRP1,0.7844586576358584,0.036609481801001736
A1,HSPG2,0.7879058968969251,0.19620330467522068
A1,HLA-DRB1,0.7971607602079831,0.18301568191778364
A1,PSMB7,0.7518847548990483,0.01906892323868559
A1,CNN2,0.780513187372032,0.28703900247225883
