section,gene,cross6,binary,oracle
A1,LMNA,-0.0933272312984719,0.19393102825911254,0.3294480865782572
A1,ZYX,0.07554202192062219,0.08265335493628301,0.16430812554556928
A1,TSPO,-0.22444529597830484,-0.17653237789623283,0.27494812796810864
A1,NDUFB10,-0.09801668577085734,0.03279660062835007,0.18323205542064513
A1,SEC61A1,-0.1912643718525985,-0.107265804489402,0.28046842591391136
A1,CRIP2,0.19177452956311666,0.14302624194573615,0.212629410408697
A1,CLTA,0.17435472904227597,0.09018805200048079,0.22885557860110828
A1,PRELID1,0.06498705377183446,0.17778569616614645,0.22156950715235543
A1,ENO1,0.00043651769393663936,-0.0172962793182489,0.19501570509490915
A1,ATP5I,0.012636976334914691,-0.036169883062453,0.15629325908880767
A1,MIDN,0.1129082065651388,-0.08908068570826815,0.2787850468608834
A1,ATP6V0B,0.03342075044211531,0.013604940815625617,0.13873853308162648
A1,H1FX,0.14842412753409667,-0.018557882366981953,0.22654153895724735
A1,NDUFB11,0.032560242192510094,0.04613102132480979,0.09206806530816625
A1,IGFBP7,-0.13878783174925716,-0.00788876107503468,0.2905823383772739
A1,SPINT1,0.1276878928211617,0.12504976251708352,0.26576769891343144
A1,TSPAN17,-0.05094463556535751,-0.06903410151048327,0.13324858101747314
A1,BSG,0.1319949862107182,0.1527254369036776,0.29934455130266713
A1,TPM2,0.057690005090466324,0.030231102030696233,0.1625394180411499
A1,NNMT,0.197867134184884,0.18134258987955126,0.20686026115910505
A1,EIF3K,-0.017444154782927768,-0.020074509159888905,0.07422950327670966
A1,HN1,0.05408875858176144,0.06074702827363983,0.09351376514427413
A1,LSM4,0.01633897954382331,0.07442297377176446,0.19618063235223043
A1,CXXC5,-0.3938121378650467,-0.11039640784781911,0.41944215552478364
A1,KRT8,0.06741298317504184,0.031585060705707386,0.18045360403832172
A1,ACTB,-0.1002184301892835,-0.14906357495879474,0.19412763895886648
A1,COX6C,0.3094597238944275,0.2187760751788643,0.3171469023321017
A1,MYH9,0.1452283783954458,0.08877097666646697,0.19273632884072897
A1,AP2S1,0.046811750785432794,-0.05850256727645444,0.08697493168721383
A1,UBB,-0.012906107093326428,-0.020343147213345302,0.08015234207270847
A1,CD151,-0.1695899189138182,0.02864247257882517,0.2067665961876828
A1,BST2,0.11728190648099851,0.1473925915618442,0.16841017576497008
A1,HSPG2,-0.019615077979828074,0.17072992694208367,0.2969462625387248
A1,DCN,0.1025815979030514,0.11424589814869632,0.28655127618722465
A1,SAP30BP,0.004846010193451402,-0.011076095994210524,0.07085683245188933
A1,MVP,-0.09522093445688312,0.057279066174275896,0.21645676867558367
A1,PTBP1,0.14173570483608353,0.18699261149011168,0.2518913978393442
A1,FBXW5,0.22430784662369527,-0.016515608501851905,0.251472388504286
A1,NENF,0.17422541932467941,0.03594363540920756,0.187750446250987
A1,IDH2,0.10126128252238338,-0.08909309327448182,0.1944184548499734
A1,CIRBP,0.04326946301593167,-0.015837903939478756,0.11645395731746044
A1,AP2M1,0.04947363130091104,0.05314423933232874,0.11159613065828575
A1,FXYD3,-0.10551275317386825,0.08246651840648855,0.19464839997706923
A1,ELF3,-0.0411896425639192,-0.04173425882126728,0.10182482557528105
A1,CST3,0.005417437075348431,0.024054237981376906,0.11247131949977231
A1,HM13,-0.06077531568029275,-0.09402165372268366,0.195754008960608
A1,PFKL,0.14474640300005445,0.03777822245241193,0.17549945681492246
A1,ATOX1,0.0831048006920965,0.04965020622732623,0.15701519615707762
A1,AGPAT2,0.20667950743347951,-0.18945825410203537,0.3456289932795885
A1,RABL6,0.08682059929551904,-0.055342258115593915,0.13098428168220608
A1,IER5L,0.049251473072761176,0.04233354590119213,0.11936847256173251
A1,ENSA,0.006778977036795166,0.03565254909010821,0.15486721090734754
A1,SPINT2,0.20652092529214192,0.20153786439645083,0.2956920081613671
A1,HADHA,-0.05186661256406835,-0.03317067832803847,0.18090416216027916
A1,RALY,0.10723235284161972,-0.02434652078278321,0.30256433529429505
A1,NDUFA11,-0.00724969932539439,0.09409919061050971,0.10730639188962282
A1,ERGIC3,-0.0008251562639898516,-0.0029441908106036868,0.09172899440588846
A1,ETFB,-0.035688093442198844,-0.13129019260794458,0.17422330950088186
A1,RARRES3,-0.10833051238332429,0.008937198183835076,0.1632514400447939
A1,NUCKS1,0.1358772799391471,0.051199772925318326,0.16562273485719053
A1,PSMB4,-0.014611329927231447,0.015800095301407278,0.20241932329725745
A1,SYNGR2,-0.1311154049169034,-0.11949411041649265,0.21532517435845006
A1,PSMB1,-0.06459600511835936,-0.026475610844886206,0.24300760285436457
A1,C19orf70,-0.002842530562830252,0.1299078364446,0.19067000343255516
A1,WDR83OS,0.23553980411833042,0.23849440548422843,0.24486562763011313
A1,CLDN4,0.08612917088463062,0.002547720849560067,0.3411017710694917
A1,EHBP1L1,0.18436456449253086,-0.03173037926654514,0.19934341589690566
