tag,section,patient,n_lab,r_full,crg,drg_truelib,drg_truelib_poly3,iid_p95,iid_max,tor_n,tor_p95,tor_max,tor_sd,iid_sd
phikon_cat,G2,G,402,0.2027409356019016,0.1173994160544843,0.034192451946408,0.0289167326395947,0.0062529234261213,0.0122954405432458,200,0.0093065731884099,0.0155408491775199,0.0053769611530768,0.0036737521465821
phikon_cat,H1,H,530,0.1603798638151868,0.0548261567520322,0.0217418108283473,0.0215524889889346,0.0042212066080183,0.0075120726204147,200,0.0063030584843509,0.0128579580986096,0.0042314688637902,0.0028041500209508
midnight_p50,A1,A,340,0.0746809220723987,0.048105520822516,0.0179201368479076,0.012629523133077,0.0060608728871777,0.0121939378072259,200,0.0064778140873189,0.011056776365189,0.0042237036695446,0.0036896243907667
midnight_p50,B1,B,268,0.2276708634278093,0.0904333146466364,0.020478606415695,0.0210339894001825,0.0063768864004075,0.0084791284893788,200,0.0091882947303818,0.0154817111668002,0.0056854470476363,0.0038607935156803
midnight_p50,C1,C,165,0.2462268633440774,0.1917256345756765,0.0441959679236248,0.0276232358558035,0.0159697577878583,0.0267099320268731,192,0.0216783420219335,0.0553243069660584,0.0148176532645461,0.0096993583771218
midnight_p50,D1,D,255,0.0897027445298548,0.0663618076147579,0.0369428125269327,0.0341894951188514,0.0076571820236737,0.0215018154931872,200,0.0117332209419429,0.020655644305268,0.0075352228342209,0.0051732696446549
midnight_p50,E1,E,534,0.0234804140963503,0.0105103645815525,0.0128465013948188,0.0145996337791608,0.0039235374168461,0.0055116082276608,200,0.0067687690584414,0.0120097146434642,0.0043728171520018,0.0026549908469667
midnight_p50,F1,F,659,0.0358752108281276,0.0302449284274637,0.0279449264070527,0.0277761996911344,0.0038814300614258,0.0072640487522113,200,0.0090257615576877,0.0156834852955028,0.0056279224444069,0.0024019347078008
midnight_p50,G2,G,402,0.1960328335798743,0.1124633293565071,0.0323786085937352,0.0278721849523203,0.0059326882074307,0.0080030944928664,200,0.0067362455367176,0.0112333773443706,0.0045626260347003,0.0035032921590158
midnight_p50,H1,H,530,0.1464582795121619,0.0317261796836468,0.0213251272213485,0.0217903628656974,0.0047426979746247,0.0072281967369402,200,0.0060396078168617,0.010449270185391,0.0038016036685254,0.0027781861186518
